,SITE_ID,IGBP,LOCATION_LAT,LOCATION_LONG,SITE_NAME,COUNTRY,MAP,LOCATION_ELEV,SITE_SNOW_COVER_DAYS,SITE_DESC,FLUX_MEASUREMENTS_DATE_START,FLUX_MEASUREMENTS_DATE_END
34,CA-NS2,ENF,55.9058300,-98.5247200,UCI-1930 burn site,Canada,499.82,260,,"The UCI-1930 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.",2001-01-01 00:00:00,2005-01-01 00:00:00
35,CA-NS3,ENF,55.9116700,-98.3822200,UCI-1964 burn site,Canada,502.22,260,,"The UCI-1964 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.",2001-01-01 00:00:00,2005-01-01 00:00:00
36,CA-NS4,ENF,55.914370,-98.380645,UCI-1964 burn site wet,Canada,502.22,260,,"The UCI-1964 wet site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.",2002-01-01 00:00:00,2004-01-01 00:00:00
37,CA-NS5,ENF,55.8630600,-98.4850,UCI-1981 burn site,Canada,500.34,260,,"The UCI-1981 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.",2001-01-01 00:00:00,2005-01-01 00:00:00
38,CA-NS6,OSH,55.9166700,-98.9644400,UCI-1989 burn site,Canada,495.37,244,,"The UCI-1989 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.",2001-01-01 00:00:00,2005-01-01 00:00:00
39,CA-NS7,OSH,56.6358300,-99.9483300,UCI-1998 burn site,Canada,483.27,297,,"The UCI-1998 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.",2002-01-01 00:00:00,2005-01-01 00:00:00
40,CA-Oas,DBF,53.6288900,-106.1977900,"Saskatchewan - Western Boreal, Mature Aspen",Canada,428.53,530,,"53.62889° N, 106.19779° W, elabation of 600.63 m,BOREAS 1994, 1996, BERMS climate and flux measurements began Dec. 1996",1997-01-01 00:00:00,
41,CA-Obs,ENF,53.9871700,-105.1177900,"Saskatchewan - Western Boreal, Mature Black Spruce",Canada,405.6,628.94,,"53.98717° N, 105.11779° W, elavation of 628.94 m, BOREAS 1994, 1996, BERMS climate measurements began Dec. 1996 and flux measurements in Apr. 1999",1999-01-01 00:00:00,
42,CA-Qfo,ENF,49.6925,-74.3420600,"Quebec - Eastern Boreal, Mature Black Spruce",Canada,962.32,382,,"49.69247° N / 74.34204° W, elevation of 387 mm, 90 - 100 yr old Black Spruce, Jack Pine, feather moss",2003-01-01 00:00:00,
43,CA-SF1,ENF,54.4850300,-105.8175700,"Saskatchewan - Western Boreal, forest burned in 1977",Canada,470,536,,"Regenerated jack pine (Pinus banksiana) following fire in 1977; canopy height 6 m and LAI = 2.8.  Some black spruce understory developing.  Trees tend to be clumpy, with some clear spaces that can be easily walked thorugh, and other areas are thick.  Fire killed coarse woody debris on the ground, that is soft and decomposing.  Very few perched trunks. Understory are short shrubs such as Vaccinium and Arctostaphylus uva-ursi.",2004-01-01 00:00:00,2006-01-01 00:00:00
44,CA-SF2,ENF,54.2539200,-105.8775000,"Saskatchewan - Western Boreal, forest burned in 1989",Canada,470,520,,"Amiro_et_al_2006, AFM/136:...The 1989 burn site (F89) was northeast of Prince Albert National Park, Saskatchewan, with the humancaused fire covering 13,500 ha. Parts of the area had been logged prior to the fire, and slash residues would have been burned in some locations. Parts of the area were aerially seeded with jack pine seeds in the winter of 1990.                          The present tree canopy was composed of balsam poplar (Populus balsamifera L.), jack pine, trembling aspen, and birch (Betula papyrifera Marsh.) and prior to the fire, the stand consisted of these same species aswell asblack spruce.Deadsnags of black spruce and jack pinewere still standing, althoughmost had fallen over and formed a leaningmix of dry, dead tree boles. The understory vegetation consisted mostly of black spruce saplings, saplings of the tree overstory species, bearberry, blueberry (Vaccinium myrtilloides Michx.), raspberry (Rubus idaeus L.), rose (Rosa acicularis Lindl.), bunchberry (Cornus canadensis L.), and reed grass (Calamagrostis canadensis (Michx.) Nutt.).",2001-01-01 00:00:00,2005-01-01 00:00:00
